time,threads,image_name,algorithm,speedup
0.017985,1,./image1_4k.jpg,Nearest,1
0.014378,2,./image1_4k.jpg,Nearest,1.250869384
0.012927,4,./image1_4k.jpg,Nearest,1.391274078
0.013223,8,./image1_4k.jpg,Nearest,1.360130076
0.012261,16,./image1_4k.jpg,Nearest,1.466846097
0.017048,1,./image2_1080p.jpg,Nearest,1
0.013257,2,./image2_1080p.jpg,Nearest,1.285962133
0.012619,4,./image2_1080p.jpg,Nearest,1.350978683
0.013418,8,./image2_1080p.jpg,Nearest,1.270532121
0.01366,16,./image2_1080p.jpg,Nearest,1.248023426
0.016959,1,./image3_720p.jpg,Nearest,1
0.013445,2,./image3_720p.jpg,Nearest,1.261361101
0.0108,4,./image3_720p.jpg,Nearest,1.570277778
0.012261,8,./image3_720p.jpg,Nearest,1.383166137
0.010105,16,./image3_720p.jpg,Nearest,1.67827808
0.037404,1,./image1_4k.jpg,Bilinear,1
0.023273,2,./image1_4k.jpg,Bilinear,1.607184291
0.018502,4,./image1_4k.jpg,Bilinear,2.021619284
0.017841,8,./image1_4k.jpg,Bilinear,2.096519253
0.017671,16,./image1_4k.jpg,Bilinear,2.116688359
0.035822,1,./image2_1080p.jpg,Bilinear,1
0.023495,2,./image2_1080p.jpg,Bilinear,1.524664822
0.018828,4,./image2_1080p.jpg,Bilinear,1.902591884
0.018071,8,./image2_1080p.jpg,Bilinear,1.98229207
0.017539,16,./image2_1080p.jpg,Bilinear,2.04241975
0.033429,1,./image3_720p.jpg,Bilinear,1
0.022963,2,./image3_720p.jpg,Bilinear,1.455776684
0.018034,4,./image3_720p.jpg,Bilinear,1.853665299
0.017734,8,./image3_720p.jpg,Bilinear,1.885023119
0.015272,16,./image3_720p.jpg,Bilinear,2.188907805
